teor_umidade_pct,indice_acidez_mgKOH_g,ponto_fusao_c,indice_oxidacao_1a10,certificacao_exigida,id_pedido
0.34,5.41,32.19,8.0,ANVISA,Manteiga de manga_Agosto_383
0.8,5.08,30.45,8.0,ISO-HACCP,Manteiga de manga_Agosto_384
0.1,3.36,35.35,5.0,ISO-HACCP,Manteiga de manga_Agosto_385
0.62,1.01,33.88,8.0,Nenhuma,Manteiga de manga_Agosto_386
0.47,5.58,33.09,9.0,Internacional,Manteiga de manga_Agosto_387
0.9,4.35,29.61,8.0,ANVISA,Manteiga de manga_Agosto_388
0.98,5.2,31.54,10.0,Internacional,Manteiga de manga_Agosto_389
0.53,3.4,31.58,8.0,Internacional,Manteiga de manga_Agosto_390
0.39,2.42,33.93,8.0,Internacional,Manteiga de manga_Agosto_391
0.42,5.59,33.84,9.0,ANVISA,Manteiga de manga_Agosto_392
0.52,5.06,33.25,10.0,ISO-HACCP,Manteiga de manga_Agosto_393
0.77,5.66,30.19,9.0,ANVISA,Manteiga de manga_Agosto_394
1.09,3.51,32.54,6.0,ANVISA,Manteiga de manga_Agosto_395
0.59,5.86,29.95,8.0,ANVISA,Manteiga de manga_Agosto_396
0.1,2.88,33.53,9.0,Internacional,Manteiga de manga_Agosto_397
0.84,5.94,32.89,7.0,ANVISA,Manteiga de manga_Agosto_398
0.99,3.88,32.21,7.0,Internacional,Manteiga de manga_Agosto_399
0.65,4.95,31.05,6.0,Nenhuma,Manteiga de manga_Agosto_400
0.41,1.0,33.62,7.0,Nenhuma,Manteiga de manga_Agosto_401
0.69,4.4,32.89,6.0,ISO-HACCP,Manteiga de manga_Agosto_402
0.68,4.39,29.24,8.0,Internacional,Manteiga de manga_Agosto_403
0.49,4.43,31.68,8.0,Internacional,Manteiga de manga_Agosto_404
0.6,1.0,36.42,7.0,ANVISA,Manteiga de manga_Agosto_405
0.53,3.11,33.6,9.0,Internacional,Manteiga de manga_Agosto_406
0.54,2.26,32.76,9.0,Internacional,Manteiga de manga_Agosto_407
1.19,4.16,32.7,6.0,Internacional,Manteiga de manga_Agosto_408
0.61,4.37,31.87,7.0,ISO-HACCP,Manteiga de manga_Agosto_409
0.42,6.75,36.8,8.0,Nenhuma,Manteiga de manga_Agosto_410
0.72,4.16,32.3,6.0,Internacional,Manteiga de manga_Agosto_411
0.42,6.07,30.48,7.0,ISO-HACCP,Manteiga de manga_Agosto_412
0.58,6.63,36.27,6.0,Internacional,Manteiga de manga_Agosto_413
0.7,5.58,30.38,8.0,Internacional,Manteiga de manga_Agosto_414
0.1,5.77,34.21,7.0,,Manteiga de manga_Agosto_415
1.13,5.78,29.17,8.0,ANVISA,Manteiga de manga_Agosto_416
0.64,3.82,29.78,8.0,ANVISA,Manteiga de manga_Agosto_417
0.83,3.81,32.57,6.0,ISO-HACCP,Manteiga de manga_Agosto_418
0.42,3.97,33.74,8.0,Internacional,Manteiga de manga_Agosto_419
0.78,4.41,32.49,6.0,ANVISA,Manteiga de manga_Agosto_420
0.73,2.04,31.12,8.0,ISO-HACCP,Manteiga de manga_Agosto_421
0.55,4.19,31.57,9.0,ANVISA,Manteiga de manga_Agosto_422
0.54,4.54,31.4,7.0,Internacional,Manteiga de manga_Agosto_423
0.53,3.73,30.3,9.0,ISO-HACCP,Manteiga de manga_Agosto_424
0.96,5.09,33.18,9.0,ANVISA,Manteiga de manga_Agosto_425
0.38,2.96,30.58,5.0,ANVISA,Manteiga de manga_Agosto_426
0.54,3.58,31.73,6.0,Internacional,Manteiga de manga_Agosto_427
0.81,3.6,34.68,8.0,ANVISA,Manteiga de manga_Agosto_428
1.01,5.16,32.41,6.0,Internacional,Manteiga de manga_Agosto_429
0.26,3.53,30.11,8.0,Internacional,Manteiga de manga_Agosto_430
0.77,3.98,32.71,8.0,Nenhuma,Manteiga de manga_Agosto_431
0.76,3.77,31.36,7.0,Internacional,Manteiga de manga_Agosto_432
0.48,4.57,36.29,6.0,Nenhuma,Manteiga de manga_Agosto_433
1.1,3.57,33.99,9.0,Internacional,Manteiga de manga_Agosto_434
0.8,3.29,33.01,7.0,ISO-HACCP,Manteiga de manga_Agosto_435
0.43,1.69,32.42,7.0,Internacional,Manteiga de manga_Agosto_436
0.63,2.31,29.84,9.0,ANVISA,Manteiga de manga_Agosto_437
0.24,5.92,31.86,8.0,Nenhuma,Manteiga de manga_Agosto_438
0.27,2.19,31.54,9.0,ANVISA,Manteiga de manga_Agosto_439
0.72,6.45,32.24,7.0,Nenhuma,Manteiga de manga_Agosto_440
0.8,2.53,34.23,7.0,Internacional,Manteiga de manga_Agosto_441
0.41,5.45,34.88,9.0,ANVISA,Manteiga de manga_Agosto_442
0.45,2.32,31.44,8.0,Nenhuma,Manteiga de manga_Agosto_443
0.53,4.9,32.7,9.0,Internacional,Manteiga de manga_Agosto_444
0.31,6.91,31.65,6.0,ISO-HACCP,Manteiga de manga_Agosto_445
0.69,4.74,32.51,8.0,,Manteiga de manga_Agosto_446
0.1,3.5,33.46,8.0,ISO-HACCP,Manteiga de manga_Agosto_447
0.48,2.97,31.96,9.0,ANVISA,Manteiga de manga_Agosto_448
0.9,4.43,36.68,7.0,ISO-HACCP,Manteiga de manga_Agosto_449
0.48,4.53,33.02,7.0,Nenhuma,Manteiga de manga_Agosto_450
0.61,3.55,34.6,6.0,ISO-HACCP,Manteiga de manga_Agosto_451
0.57,4.67,33.36,7.826709526592636,ANVISA,Manteiga de manga_Agosto_452
0.6,3.06,35.56,7.0,Internacional,Manteiga de manga_Agosto_453
0.85,4.15,29.79,7.0,Internacional,Manteiga de manga_Agosto_454
0.3,1.45,31.6,8.0,ANVISA,Manteiga de manga_Agosto_455
0.57,2.81,32.99,6.0,ISO-HACCP,Manteiga de manga_Agosto_456
0.66,5.58,32.45,7.0,ANVISA,Manteiga de manga_Agosto_457
0.7,4.53,35.46,9.0,ISO-HACCP,Manteiga de manga_Agosto_458
0.62,4.86,30.09,5.0,ANVISA,Manteiga de manga_Agosto_459
0.46,3.55,29.39,7.0,ANVISA,Manteiga de manga_Agosto_460
0.56,4.43,31.2,7.0,Nenhuma,Manteiga de manga_Agosto_461
0.42,3.59,33.37,7.0,Internacional,Manteiga de manga_Agosto_462
1.05,4.43,29.93,7.0,Internacional,Manteiga de manga_Agosto_463
0.5,2.46,33.59,6.0,Internacional,Manteiga de manga_Agosto_464
0.3,3.65,32.2,8.0,ISO-HACCP,Manteiga de manga_Agosto_465
0.49,2.96,32.81,6.0,Internacional,Manteiga de manga_Agosto_466
1.07,5.12,32.03,7.0,ISO-HACCP,Manteiga de manga_Agosto_467
0.19,2.49,30.75,6.0,Internacional,Manteiga de manga_Agosto_468
0.72,1.7,33.92,10.0,ISO-HACCP,Manteiga de manga_Agosto_469
0.63,3.31,33.67,9.0,Internacional,Manteiga de manga_Agosto_470
0.56,3.63,36.26,8.0,ANVISA,Manteiga de manga_Agosto_471
0.91,2.26,33.89,6.0,ISO-HACCP,Manteiga de manga_Agosto_472
0.46,2.36,35.23,9.0,ANVISA,Manteiga de manga_Agosto_473
0.59,3.76,32.22,8.0,ISO-HACCP,Manteiga de manga_Agosto_474
0.25,4.8,35.04,8.0,Internacional,Manteiga de manga_Agosto_475
0.4,6.49,33.4,7.0,ISO-HACCP,Manteiga de manga_Agosto_476
0.77,3.48,28.08,9.0,ISO-HACCP,Manteiga de manga_Agosto_477
0.96,5.59,33.25,10.0,Nenhuma,Manteiga de manga_Agosto_478
0.24,6.01,35.9,9.0,ISO-HACCP,Manteiga de manga_Agosto_479
0.45,8.55,29.96,8.0,Internacional,Manteiga de manga_Agosto_480
0.77,5.24,31.36,6.0,ANVISA,Manteiga de manga_Agosto_481
0.59,4.14,31.7,9.0,ISO-HACCP,Manteiga de manga_Agosto_482
0.35,5.58,33.96,10.0,Internacional,Manteiga de manga_Agosto_483
0.55,1.28,35.27,8.0,ISO-HACCP,Manteiga de manga_Agosto_484
1.2,2.32,31.95,8.0,ISO-HACCP,Manteiga de manga_Agosto_485
0.77,3.27,30.73,9.0,ISO-HACCP,Manteiga de manga_Agosto_486
0.39,4.47,33.28,6.0,ANVISA,Manteiga de manga_Agosto_487
0.2,4.1,33.09,9.0,ISO-HACCP,Manteiga de manga_Agosto_488
0.65,3.38,31.89,7.0,ANVISA,Manteiga de manga_Agosto_489
0.93,1.79,33.33,5.0,ANVISA,Manteiga de manga_Agosto_490
0.66,3.37,34.72,8.0,ISO-HACCP,Manteiga de manga_Agosto_491
0.66,3.27,33.64,6.0,Internacional,Manteiga de manga_Agosto_492
0.9,3.48,34.9,9.0,ANVISA,Manteiga de manga_Agosto_493
0.8,5.01,32.64,8.0,ISO-HACCP,Manteiga de manga_Agosto_494
0.48,5.37,32.28,10.0,Internacional,Manteiga de manga_Agosto_495
0.43,6.55,31.1,9.0,Internacional,Manteiga de manga_Agosto_496
1.11,3.03,28.9,10.0,Internacional,Manteiga de manga_Agosto_497
0.63,5.55,32.51,8.0,ANVISA,Manteiga de manga_Agosto_498
0.92,2.67,34.67,10.0,Nenhuma,Manteiga de manga_Agosto_499
0.69,5.82,33.61,9.0,ANVISA,Manteiga de manga_Agosto_500
0.62,2.55,31.23,9.0,ISO-HACCP,Manteiga de manga_Agosto_501
1.01,5.04,32.26,8.0,ANVISA,Manteiga de manga_Agosto_502
0.71,2.93,28.74,8.0,,Manteiga de manga_Agosto_503
0.54,5.33,33.85,8.0,Internacional,Manteiga de manga_Agosto_504
0.16,3.55,32.67,8.0,ISO-HACCP,Manteiga de manga_Agosto_505
0.49,5.14,35.4,7.0,ISO-HACCP,Manteiga de manga_Agosto_506
0.65,3.06,32.67,7.0,ISO-HACCP,Manteiga de manga_Agosto_507
0.43,4.33,38.12,4.0,Internacional,Manteiga de manga_Agosto_508
0.86,4.63,34.69,4.0,ANVISA,Manteiga de manga_Agosto_509
0.86,4.2,30.3,8.0,Internacional,Manteiga de manga_Agosto_510
0.54,3.27,30.97,7.826709526592636,ISO-HACCP,Manteiga de manga_Agosto_511
0.34,1.01,35.75,10.0,ANVISA,Manteiga de manga_Agosto_512
0.89,5.01,29.25,7.0,ISO-HACCP,Manteiga de manga_Agosto_513
1.24,3.63,30.11,7.0,ANVISA,Manteiga de manga_Agosto_514
0.83,2.03,30.45,7.0,Internacional,Manteiga de manga_Agosto_515
0.53,1.66,31.17,6.0,ANVISA,Manteiga de manga_Agosto_516
0.92,1.79,34.5,8.0,ANVISA,Manteiga de manga_Agosto_517
0.98,2.09,30.71,7.0,Internacional,Manteiga de manga_Agosto_518
0.87,5.25,28.49,6.0,Internacional,Manteiga de manga_Agosto_519
0.42,4.92,34.34,9.0,ANVISA,Manteiga de manga_Agosto_520
0.68,2.67,33.27,6.0,ISO-HACCP,Manteiga de manga_Agosto_521
0.38,1.06,29.72,8.0,ISO-HACCP,Manteiga de manga_Agosto_522
0.69,2.04,30.87,5.0,ANVISA,Manteiga de manga_Agosto_523
0.26,3.52,34.74,9.0,ISO-HACCP,Manteiga de manga_Agosto_524
0.5,5.2,31.05,8.0,ISO-HACCP,Manteiga de manga_Agosto_525
0.39,5.11,29.82,7.0,Internacional,Manteiga de manga_Agosto_526
0.48,5.02,31.92,7.0,Internacional,Manteiga de manga_Agosto_527
0.56,4.33,29.07,6.0,ANVISA,Manteiga de manga_Agosto_528
0.46,4.91,31.7,10.0,Nenhuma,Manteiga de manga_Agosto_529
0.72,6.45,33.78,8.0,ANVISA,Manteiga de manga_Agosto_530
0.81,5.34,30.64,6.0,Internacional,Manteiga de manga_Agosto_531
0.76,5.58,30.42,9.0,Internacional,Manteiga de manga_Agosto_532
0.65,7.82,30.39,8.0,ISO-HACCP,Manteiga de manga_Agosto_533
0.97,4.73,31.83,8.0,Internacional,Manteiga de manga_Agosto_534
0.35,1.0,32.35,9.0,Internacional,Manteiga de manga_Agosto_535
0.27,3.26,33.87,7.0,Nenhuma,Manteiga de manga_Agosto_536
0.42,2.17,29.16,8.0,,Manteiga de manga_Agosto_537
1.06,4.12,35.34,8.0,Internacional,Manteiga de manga_Agosto_538
0.8,2.96,37.34,6.0,ANVISA,Manteiga de manga_Agosto_539
0.62,1.91,33.36,8.0,ANVISA,Manteiga de manga_Agosto_540
0.76,2.89,34.83,10.0,ISO-HACCP,Manteiga de manga_Agosto_541
0.6,2.27,34.43,8.0,ANVISA,Manteiga de manga_Agosto_542
0.88,4.35,32.26,9.0,ANVISA,Manteiga de manga_Agosto_543
0.68,7.26,31.74,9.0,ISO-HACCP,Manteiga de manga_Agosto_544
0.25,5.25,30.2,7.0,Internacional,Manteiga de manga_Agosto_545
1.27,5.9,29.55,8.0,ANVISA,Manteiga de manga_Agosto_546
0.44,2.36,28.88,9.0,Nenhuma,Manteiga de manga_Agosto_547
0.47,7.15,33.63,6.0,Internacional,Manteiga de manga_Agosto_548
0.53,2.59,31.73,7.0,Nenhuma,Manteiga de manga_Agosto_549
0.46,6.85,33.05,9.0,ISO-HACCP,Manteiga de manga_Agosto_550
0.99,5.47,31.44,6.0,ISO-HACCP,Manteiga de manga_Agosto_551
0.19,5.28,34.55,8.0,Nenhuma,Manteiga de manga_Agosto_552
0.69,4.99,35.99,6.0,ANVISA,Manteiga de manga_Agosto_553
0.76,6.73,32.12,6.0,ANVISA,Manteiga de manga_Agosto_554
0.33,3.57,30.78,8.0,ISO-HACCP,Manteiga de manga_Agosto_555
1.01,1.0,30.79,9.0,ANVISA,Manteiga de manga_Agosto_556
0.82,6.2,34.63,9.0,ISO-HACCP,Manteiga de manga_Agosto_557
0.99,2.03,28.0,8.0,Internacional,Manteiga de manga_Agosto_558
0.66,4.69,30.65,7.0,ISO-HACCP,Manteiga de manga_Agosto_559
0.31,4.01,29.72,6.0,ANVISA,Manteiga de manga_Agosto_560
0.11,3.05,32.67,8.0,ISO-HACCP,Manteiga de manga_Agosto_561
1.09,2.94,34.95,7.0,ANVISA,Manteiga de manga_Agosto_562
0.82,7.13,36.63,8.0,Internacional,Manteiga de manga_Agosto_563
0.66,5.16,35.43,5.0,ANVISA,Manteiga de manga_Agosto_564
0.68,6.22,35.92,6.0,Internacional,Manteiga de manga_Agosto_565
0.46,4.33,33.64,9.0,ANVISA,Manteiga de manga_Agosto_566
0.44,5.77,31.76,9.0,ANVISA,Manteiga de manga_Agosto_567
0.36,4.48,30.45,7.0,Nenhuma,Manteiga de manga_Agosto_568
0.99,1.56,35.29,7.0,ISO-HACCP,Manteiga de manga_Agosto_569
0.58,1.13,33.4,7.0,ANVISA,Manteiga de manga_Agosto_570
0.68,5.14,31.05,9.0,Nenhuma,Manteiga de manga_Agosto_571
1.02,6.68,34.0,7.0,Internacional,Manteiga de manga_Agosto_572
0.42,4.93,30.34,8.0,Internacional,Manteiga de manga_Agosto_573
0.63,6.15,31.23,7.0,ISO-HACCP,Manteiga de manga_Agosto_574
0.62,1.63,31.6,10.0,Internacional,Manteiga de manga_Agosto_575
0.58,2.1,34.27,8.0,Internacional,Manteiga de manga_Agosto_576
0.87,2.2,34.34,8.0,ANVISA,Manteiga de manga_Agosto_577
0.28,5.36,31.3,9.0,Internacional,Manteiga de manga_Agosto_578
0.63,4.5,32.61,7.0,ISO-HACCP,Manteiga de manga_Agosto_579
0.62,2.67,33.03,7.0,ANVISA,Manteiga de manga_Agosto_580
0.26,5.43,29.99,7.0,ANVISA,Manteiga de manga_Agosto_581
0.57,4.36,36.48,9.0,Internacional,Manteiga de manga_Agosto_582
0.79,3.18,28.0,8.0,ISO-HACCP,Manteiga de manga_Agosto_583
0.55,6.5,31.72,8.0,ANVISA,Manteiga de manga_Agosto_584
0.74,4.11,31.18,8.0,Nenhuma,Manteiga de manga_Agosto_585
0.28,6.13,31.38,8.0,ANVISA,Manteiga de manga_Agosto_586
0.65,1.33,37.71,7.0,ISO-HACCP,Manteiga de manga_Agosto_587
1.02,1.91,31.41,7.0,ISO-HACCP,Manteiga de manga_Agosto_588
0.55,3.37,31.84,9.0,ANVISA,Manteiga de manga_Agosto_589
0.61,3.78,34.16,9.0,Internacional,Manteiga de manga_Agosto_590
0.46,4.4,28.0,7.0,Internacional,Manteiga de manga_Agosto_591
0.42,2.83,32.53,6.0,ISO-HACCP,Manteiga de manga_Agosto_592
0.45,3.39,35.41,6.0,Internacional,Manteiga de manga_Agosto_593
0.75,8.02,29.23,7.0,Nenhuma,Manteiga de manga_Agosto_594
0.58,4.3,36.13,9.0,ANVISA,Manteiga de manga_Agosto_595
0.64,4.68,33.54,9.0,ANVISA,Manteiga de manga_Agosto_596
0.3,5.51,32.59,8.0,ANVISA,Manteiga de manga_Agosto_597
0.99,3.43,36.11,9.0,Internacional,Manteiga de manga_Agosto_598
0.84,4.37,32.83,5.0,Internacional,Manteiga de manga_Agosto_599
0.75,6.53,34.81,8.0,Internacional,Manteiga de manga_Agosto_600
0.29,1.82,32.08,7.0,Internacional,Manteiga de manga_Agosto_601
0.83,4.76,34.42,9.0,ANVISA,Manteiga de manga_Agosto_602
0.27,5.88,35.89,9.0,Nenhuma,Manteiga de manga_Agosto_603
0.29,4.79,30.26,8.0,ANVISA,Manteiga de manga_Agosto_604
0.44,4.02,32.0,10.0,ISO-HACCP,Manteiga de manga_Agosto_605
0.69,4.8,30.38,9.0,ISO-HACCP,Manteiga de manga_Agosto_606
0.56,7.7,34.1,7.0,ISO-HACCP,Manteiga de manga_Agosto_607
0.57,6.25,33.77,7.826709526592636,,Manteiga de manga_Agosto_608
0.39,4.3,36.63,8.0,Internacional,Manteiga de manga_Agosto_609
0.54,6.68,30.36,9.0,ISO-HACCP,Manteiga de manga_Agosto_610
0.8,6.57,33.39,7.0,Internacional,Manteiga de manga_Agosto_611
0.58,3.39,36.35,9.0,ISO-HACCP,Manteiga de manga_Agosto_612
0.61,5.03,30.79,8.0,ISO-HACCP,Manteiga de manga_Agosto_613
0.53,1.0,34.89,5.0,Nenhuma,Manteiga de manga_Agosto_614
0.28,8.31,34.33,7.0,ANVISA,Manteiga de manga_Agosto_615
1.16,3.3,31.7,8.0,ANVISA,Manteiga de manga_Agosto_616
0.77,1.0,35.97,7.0,Internacional,Manteiga de manga_Agosto_617
0.53,2.56,34.89,8.0,ISO-HACCP,Manteiga de manga_Agosto_618
0.1,1.06,30.75,7.0,Internacional,Manteiga de manga_Agosto_619
0.85,6.57,35.86,8.0,Internacional,Manteiga de manga_Agosto_620
0.56,4.61,34.74,8.0,Internacional,Manteiga de manga_Agosto_621
0.7,5.57,32.23,6.0,Internacional,Manteiga de manga_Agosto_622
0.1,1.96,34.25,8.0,ANVISA,Manteiga de manga_Agosto_623
0.33,3.31,32.91,8.0,Internacional,Manteiga de manga_Agosto_624
0.7,5.12,31.35,8.0,ANVISA,Manteiga de manga_Agosto_625
0.33,3.72,36.42,8.0,,Manteiga de manga_Agosto_626
0.59,4.17,38.89,7.0,ANVISA,Manteiga de manga_Agosto_627
0.67,1.0,31.17,9.0,ISO-HACCP,Manteiga de manga_Agosto_628
0.54,5.08,31.63,8.0,ISO-HACCP,Manteiga de manga_Agosto_629
0.78,6.32,32.78,6.0,Internacional,Manteiga de manga_Agosto_630
0.65,5.34,34.1,8.0,ISO-HACCP,Manteiga de manga_Agosto_631
0.6,7.47,33.88,9.0,ANVISA,Manteiga de manga_Agosto_632
0.35,3.42,32.63,9.0,ANVISA,Manteiga de manga_Agosto_633
0.47,2.84,33.18,9.0,ISO-HACCP,Manteiga de manga_Agosto_634
0.35,5.75,30.72,8.0,Internacional,Manteiga de manga_Agosto_635
0.69,2.9,30.73,10.0,Internacional,Manteiga de manga_Agosto_636
1.0,5.42,30.98,7.0,Internacional,Manteiga de manga_Agosto_637
0.57,3.75,30.3,8.0,Internacional,Manteiga de manga_Agosto_638
0.65,2.65,28.0,7.0,Internacional,Manteiga de manga_Agosto_639
0.42,4.42,32.22,5.0,ANVISA,Manteiga de manga_Agosto_640
0.62,3.56,29.49,8.0,ISO-HACCP,Manteiga de manga_Agosto_641
0.69,4.89,32.18,9.0,Nenhuma,Manteiga de manga_Agosto_642
0.1,5.78,32.01,9.0,ISO-HACCP,Manteiga de manga_Agosto_643
0.6,7.32,34.23,7.826709526592636,ISO-HACCP,Manteiga de manga_Agosto_644
0.52,4.43,32.23,8.0,Internacional,Manteiga de manga_Agosto_645
0.66,7.47,33.83,7.0,Nenhuma,Manteiga de manga_Agosto_646
0.36,5.68,32.2,8.0,Internacional,Manteiga de manga_Agosto_647
0.19,6.85,35.25,10.0,Nenhuma,Manteiga de manga_Agosto_648
0.39,4.42,34.41,6.0,Internacional,Manteiga de manga_Agosto_649
0.61,2.71,33.15,7.0,Nenhuma,Manteiga de manga_Agosto_650
0.71,3.54,29.28,7.0,ANVISA,Manteiga de manga_Agosto_651
0.5,7.26,34.51,7.0,ANVISA,Manteiga de manga_Agosto_652
0.4,6.8,34.95,9.0,ISO-HACCP,Manteiga de manga_Agosto_653
0.74,3.3,30.28,8.0,ISO-HACCP,Manteiga de manga_Agosto_654
1.14,6.76,29.72,8.0,ISO-HACCP,Manteiga de manga_Agosto_655
0.65,6.31,34.34,7.0,ISO-HACCP,Manteiga de manga_Agosto_656
0.9,5.01,36.22,8.0,ISO-HACCP,Manteiga de manga_Agosto_657
0.96,5.91,31.59,8.0,ISO-HACCP,Manteiga de manga_Agosto_658
0.55,3.44,29.59,7.0,ISO-HACCP,Manteiga de manga_Agosto_659
1.0,2.37,28.15,10.0,Internacional,Manteiga de manga_Agosto_660
0.21,2.51,29.75,10.0,ISO-HACCP,Manteiga de manga_Agosto_661
0.47,6.73,31.63,8.0,ANVISA,Manteiga de manga_Agosto_662
0.78,1.78,32.4,7.0,Internacional,Manteiga de manga_Agosto_663
0.93,4.86,31.09,9.0,Nenhuma,Manteiga de manga_Agosto_664
0.59,6.12,34.07,7.0,ANVISA,Manteiga de manga_Agosto_665
0.51,2.92,28.33,7.0,,Manteiga de manga_Agosto_666
0.9,4.75,32.52,9.0,Internacional,Manteiga de manga_Agosto_667
1.21,5.84,34.22,6.0,ANVISA,Manteiga de manga_Agosto_668
0.88,1.69,33.09,5.0,ISO-HACCP,Manteiga de manga_Agosto_669
0.57,7.45,33.38,7.0,ANVISA,Manteiga de manga_Agosto_670
0.72,5.49,35.01,7.0,Nenhuma,Manteiga de manga_Agosto_671
0.37,3.0,35.39,8.0,ANVISA,Manteiga de manga_Agosto_672
0.65,3.45,32.61,8.0,ANVISA,Manteiga de manga_Agosto_673
0.74,5.0,32.25,7.0,ANVISA,Manteiga de manga_Agosto_674
0.64,4.31,29.99,10.0,ISO-HACCP,Manteiga de manga_Agosto_675
0.62,6.12,31.86,7.0,ANVISA,Manteiga de manga_Agosto_676
0.76,5.64,34.16,6.0,Internacional,Manteiga de manga_Agosto_677
0.76,5.24,32.84,7.0,Internacional,Manteiga de manga_Agosto_678
0.85,2.36,33.33,9.0,Internacional,Manteiga de manga_Agosto_679
0.48,3.39,34.55,8.0,Internacional,Manteiga de manga_Agosto_680
0.82,6.07,33.58,7.0,ISO-HACCP,Manteiga de manga_Agosto_681
0.64,3.55,30.2,9.0,ISO-HACCP,Manteiga de manga_Agosto_682
0.68,2.6,32.99,8.0,,Manteiga de manga_Agosto_683
0.68,4.04,32.44,8.0,Internacional,Manteiga de manga_Agosto_684
0.41,5.28,34.86,7.0,ISO-HACCP,Manteiga de manga_Agosto_685
0.39,4.88,30.96,6.0,ISO-HACCP,Manteiga de manga_Agosto_686
0.92,2.84,31.24,6.0,ANVISA,Manteiga de manga_Agosto_687
0.59,4.7,33.05,7.0,Internacional,Manteiga de manga_Agosto_688
0.45,2.26,36.66,10.0,ANVISA,Manteiga de manga_Agosto_689
0.48,3.3,33.58,9.0,Internacional,Manteiga de manga_Agosto_690
0.74,2.82,34.55,7.0,Internacional,Manteiga de manga_Agosto_691
0.6,4.47,30.78,8.0,ANVISA,Manteiga de manga_Agosto_692
0.66,5.14,32.54,9.0,Internacional,Manteiga de manga_Agosto_693
0.17,3.54,33.97,9.0,ISO-HACCP,Manteiga de manga_Agosto_694
0.63,3.88,32.74,4.0,ISO-HACCP,Manteiga de manga_Agosto_695
0.23,6.5,32.12,10.0,ISO-HACCP,Manteiga de manga_Agosto_696
0.22,3.53,30.66,9.0,Internacional,Manteiga de manga_Agosto_697
0.59,5.83,34.35,7.0,ANVISA,Manteiga de manga_Agosto_698
0.85,3.48,31.93,9.0,ISO-HACCP,Manteiga de manga_Agosto_699
0.7,6.22,32.2,9.0,Internacional,Manteiga de manga_Setembro_0
1.02,4.51,30.83,7.826709526592636,Internacional,Manteiga de manga_Setembro_1
0.28,6.65,31.03,6.0,ANVISA,Manteiga de manga_Setembro_2
0.57,7.48,34.1,8.0,Internacional,Manteiga de manga_Setembro_3
0.79,2.04,33.65,7.0,ISO-HACCP,Manteiga de manga_Setembro_4
0.85,2.92,35.34,7.0,Internacional,Manteiga de manga_Setembro_5
0.9,6.08,31.83,7.0,Nenhuma,Manteiga de manga_Setembro_6
0.23,4.44,33.84,7.0,Internacional,Manteiga de manga_Setembro_7
0.41,3.79,35.64,6.0,ISO-HACCP,Manteiga de manga_Setembro_8
0.98,6.7,34.54,6.0,ANVISA,Manteiga de manga_Setembro_9
0.83,4.78,36.23,6.0,ANVISA,Manteiga de manga_Setembro_10
0.84,4.46,31.23,9.0,ISO-HACCP,Manteiga de manga_Setembro_11
0.69,7.84,34.59,8.0,ANVISA,Manteiga de manga_Setembro_12
0.32,3.59,32.82,8.0,ISO-HACCP,Manteiga de manga_Setembro_13
0.72,4.54,35.5,9.0,Internacional,Manteiga de manga_Setembro_14
0.72,5.27,29.82,8.0,Nenhuma,Manteiga de manga_Setembro_15
0.81,2.48,31.52,9.0,Internacional,Manteiga de manga_Setembro_16
0.43,6.59,32.24,10.0,Internacional,Manteiga de manga_Setembro_17
0.32,4.89,32.72,9.0,Internacional,Manteiga de manga_Setembro_18
0.5,7.47,34.29,9.0,ANVISA,Manteiga de manga_Setembro_19
0.76,1.72,31.25,7.0,Internacional,Manteiga de manga_Setembro_20
0.53,8.82,34.81,9.0,ANVISA,Manteiga de manga_Setembro_21
0.9,3.76,33.86,6.0,Internacional,Manteiga de manga_Setembro_22
0.41,7.37,33.65,7.0,ISO-HACCP,Manteiga de manga_Setembro_23
0.67,3.26,38.09,6.0,Internacional,Manteiga de manga_Setembro_24
0.96,5.04,33.26,8.0,ANVISA,Manteiga de manga_Setembro_25
0.45,1.96,35.65,7.0,Internacional,Manteiga de manga_Setembro_26
0.37,3.95,29.2,5.0,Nenhuma,Manteiga de manga_Setembro_27
0.89,4.15,33.94,9.0,ANVISA,Manteiga de manga_Setembro_28
0.26,3.11,33.68,9.0,ISO-HACCP,Manteiga de manga_Setembro_29
0.8,4.16,30.81,8.0,Nenhuma,Manteiga de manga_Setembro_30
0.58,3.17,32.04,7.0,ANVISA,Manteiga de manga_Setembro_31
1.08,1.04,33.84,8.0,ANVISA,Manteiga de manga_Setembro_32
0.77,4.51,37.0,8.0,Internacional,Manteiga de manga_Setembro_33
0.61,5.31,36.6,7.0,ISO-HACCP,Manteiga de manga_Setembro_34
0.85,4.0,30.45,10.0,ISO-HACCP,Manteiga de manga_Setembro_35
0.76,6.21,30.08,8.0,ISO-HACCP,Manteiga de manga_Setembro_36
0.6,4.43,34.67,9.0,Internacional,Manteiga de manga_Setembro_37
1.27,3.74,32.93,8.0,ISO-HACCP,Manteiga de manga_Setembro_38
0.41,4.1,33.36,7.0,Internacional,Manteiga de manga_Setembro_39
0.63,3.23,31.52,7.0,Internacional,Manteiga de manga_Setembro_40
0.54,4.04,28.46,8.0,Internacional,Manteiga de manga_Setembro_41
0.6,3.29,33.72,6.0,ISO-HACCP,Manteiga de manga_Setembro_42
1.08,5.77,31.81,7.0,ANVISA,Manteiga de manga_Setembro_43
